,relax,spring_constant,random_strength,iterations,runningtime,Distance metric,Fractional length,0 points,1 points
0,False,25,5.0,100,13.671879768371582,327568.0873962954,764.1732415762118,"[[18.29191391  2.14030014]
 [ 7.65158178  6.58455338]
 [21.11345627 21.20523886]
 [26.29838607  3.46338145]
 [15.30069368  3.27728633]
 [ 5.28371483 16.60868661]
 [ 1.9470224   6.75455132]
 [19.75537804 18.01130811]
 [ 7.13978376 17.83802169]
 [23.43315826  1.68320034]
 [22.76552876 20.41013267]
 [ 8.85447527  5.20653189]
 [26.58615414 11.80950414]
 [ 0.98632008  2.09394431]
 [25.12245516 17.7674434 ]
 [23.27543776 21.90739221]
 [15.98610875 29.42968341]
 [11.32284561 13.4593397 ]
 [24.63354754 20.21387397]
 [25.09679928 15.3073013 ]
 [21.49006901  1.31176915]
 [ 6.73928393  9.81591978]
 [ 3.42871567  8.13654322]
 [ 3.19962369  9.95004885]
 [21.04269685 12.23148298]
 [ 9.20729989  7.14623971]
 [ 7.72749763 28.77137977]
 [21.23955854 19.38350725]
 [ 4.77955348 20.79204458]
 [ 4.30304138 12.67420316]
 [29.77114459 20.40051518]
 [14.78834031 20.37608712]
 [25.29643513 22.05740571]
 [ 7.14306808  1.47016726]
 [ 9.79434656  9.34798909]
 [ 5.98917848 29.72902517]
 [25.02082306 11.62569359]
 [21.52515255 13.80191545]
 [26.13463636 13.90762162]
 [ 8.10615765  8.49340292]
 [16.34729109  5.25624307]
 [17.8206048  25.95122529]
 [11.13323382  7.90729196]
 [28.46932191 13.17433826]
 [ 2.62044654  1.23643259]
 [ 4.18234972 18.42528291]
 [22.96654698 12.63005874]
 [ 2.83456226 11.61760375]
 [29.84578009 14.12670292]
 [29.4430973  25.60934859]
 [ 1.14855174 20.71454699]
 [20.89587803 15.7691354 ]
 [ 7.75653194 19.79961415]
 [ 6.88183954 15.53062022]
 [14.01975866 29.84679947]
 [26.23630533  9.9674195 ]
 [17.0730842   3.40546887]
 [27.539249   24.58378205]
 [ 9.76168333 20.23721072]
 [18.73244126  4.24963454]
 [23.19359887 14.79621028]
 [24.54372729 13.6771061 ]
 [ 1.65972059  8.87055672]
 [ 1.74568454 29.32484794]
 [27.21194478 22.91191206]
 [ 8.89127026  0.51312061]
 [27.85730318 26.61300878]
 [ 4.39158994 14.56391713]
 [ 2.80483215 21.61915774]
 [20.13634856  2.90609346]
 [14.80418448 15.39999976]
 [ 7.81858385 25.97331103]
 [10.79736448  5.91254366]
 [14.76043942 22.50208771]
 [ 4.81994536 10.92421472]
 [29.08464634 22.23081266]
 [12.84164451 14.60689467]
 [ 4.57447655  6.73411936]
 [ 9.00667122 18.59707718]
 [ 6.3618414   7.66825699]
 [ 2.93090882 19.69542804]
 [ 5.67100316 25.49101247]
 [25.61635019  1.73175451]
 [ 6.0387099  19.26212019]
 [ 6.1515717   5.42830035]
 [26.50338527 16.48360618]
 [13.01066645 21.24567669]
 [24.76136448  6.80750335]
 [ 1.21741071 10.71870072]
 [12.87541937 12.59035315]
 [19.29646106 20.01201692]
 [27.6941959   1.98101363]
 [11.18304718 11.4574986 ]
 [26.31400681  7.71457462]
 [ 5.87359263 13.58603316]
 [11.98788279  9.58909606]
 [ 6.48733581 27.49886551]
 [12.98435977 23.20634253]
 [16.33455378  1.55951373]
 [29.21161963 23.93214282]
 [29.47920723 27.67067822]
 [26.15444677  5.3099494 ]]","[[16.05000734  8.39793151]
 [12.11077833  3.09100481]
 [12.71908848 27.73653873]
 [ 9.06442456 24.17347483]
 [15.66070363 11.79200074]
 [27.56700484 28.37225834]
 [17.35282392 22.20059631]
 [ 4.88243278  8.92107319]
 [29.83012776 18.4464144 ]
 [16.79557842 24.12499097]
 [ 2.15752679 17.64230557]
 [14.44694647 24.4595094 ]
 [ 3.91536041 28.9226101 ]
 [ 2.98785557  3.25877778]
 [17.45175324 20.17651294]
 [ 6.58609864  3.60993038]
 [28.28309329  8.23499043]
 [16.87374649 18.02703758]
 [13.10795004 17.24933812]
 [14.7912358  27.61156339]
 [ 6.59820531 21.76089756]
 [ 7.86889413 13.30171171]
 [19.50975907  8.26314861]
 [10.43557141 22.5091813 ]
 [ 0.185079   14.17078592]
 [28.54659609 30.        ]
 [ 3.15856257  5.21331934]
 [ 9.16893945 27.31826825]
 [26.07448055 27.38575001]
 [10.20199844  3.94621639]
 [26.38810863 19.32266771]
 [16.74685076 27.4157257 ]
 [19.27953773  0.39319411]
 [24.39917689  9.91098963]
 [20.78730603 27.18341786]
 [ 4.75957858  2.23738618]
 [ 3.15822519 16.08769174]
 [ 8.86481358 16.49887901]
 [21.61321466  5.03561339]
 [16.93781893 10.18985258]
 [15.81520575 25.91115606]
 [24.51212101  3.85895029]
 [14.92412139  6.96549036]
 [ 1.09334695 24.81181846]
 [20.46417294  6.67565742]
 [22.01531855 17.54106747]
 [12.1866347   1.24041975]
 [ 3.09344367 25.18251075]
 [27.76132392 15.00922613]
 [23.60839413 16.78296002]
 [ 4.85872878  4.08904717]
 [ 9.90327579 25.86267924]
 [23.07615316 25.62359523]
 [28.22368438  6.11724086]
 [ 8.61504918  3.02127433]
 [22.57697642 27.5854156 ]
 [11.22670176 18.42800349]
 [ 3.76359936 26.9176918 ]
 [25.81645708 29.38170874]
 [24.19515766 28.64668493]
 [ 0.90098986 22.80614366]
 [10.85801469 27.75460525]
 [25.28863792 25.433252  ]
 [23.09069805  8.32895029]
 [22.4916418   3.62544722]
 [24.31750804 26.95882299]
 [ 7.14387919 23.67553924]
 [14.93504276 10.20825019]
 [22.29235126  6.7740019 ]
 [ 1.48772912  4.31714828]
 [11.83213001 26.02077761]
 [29.97705124  9.03489769]
 [17.61854846 11.73655861]
 [28.79815209 16.68250543]
 [28.13023523  4.13087973]
 [29.71734949  5.17622596]
 [29.9312271   7.14767324]
 [ 2.4039835  14.16987997]
 [22.3245069  10.36294102]
 [17.02067663 13.67146121]
 [10.94400659 16.52417991]
 [ 8.52540006 22.19556692]
 [ 1.90371726 26.92941834]
 [13.07341052 19.27596494]
 [23.38131927 18.63075115]
 [10.45697119  2.06459827]
 [20.40227485 10.03455259]
 [11.15397415 24.20113944]
 [21.28678905  8.33566387]
 [ 9.69875701 12.59264886]
 [ 8.31294825 11.09335395]
 [ 6.4968788  11.88562752]
 [27.76277414 20.41746487]
 [28.03488813 18.34836424]
 [ 9.48400303 14.79017729]
 [ 0.087929    7.87396286]
 [14.89619923 18.25282574]
 [19.20672425 12.65528686]
 [14.03065125  8.45832875]
 [13.81444241 25.96521803]
 [23.48320589  5.45065183]
 [ 1.27963821 15.98431739]
 [18.70527022 10.15281898]]"
1,False,25,5.0,11,13.671879768371582,335741.0645951541,1288.4859223688866,"[[18.57758283  1.77998993]
 [ 8.24297662  5.99998435]
 [21.59650457 22.31209604]
 [27.19280035  2.68067537]
 [13.83644331  1.85690008]
 [ 6.47293814 15.58418499]
 [ 0.5661572   6.59130366]
 [18.91018406 16.46803244]
 [ 5.97818491 17.96171267]
 [23.88046247  0.37625731]
 [22.51739346 20.6396753 ]
 [ 9.23829363  4.35562466]
 [28.5939103  11.14874056]
 [ 1.67873616  2.8820517 ]
 [25.8070178  18.77734986]
 [23.68661896 22.45736887]
 [15.90449224 30.        ]
 [11.08945477 15.17720883]
 [24.25406994 20.10010914]
 [25.50899326 16.73286055]
 [21.40521011  1.53763009]
 [ 6.63826812  8.6221683 ]
 [ 2.18784954  7.75192352]
 [ 3.3803907   9.51629836]
 [18.98296712 11.49307811]
 [10.14994121  6.10473826]
 [ 9.47496562 29.84657321]
 [19.8963848  18.15779061]
 [ 3.99958907 21.18091833]
 [ 4.01232467 11.35465838]
 [29.42664736 19.34707393]
 [16.09391225 19.9987656 ]
 [25.41927937 23.70020571]
 [ 7.1031971   1.23764446]
 [ 9.97106335  7.81982168]
 [ 6.40868933 29.06898007]
 [26.51477653 10.69514097]
 [20.9061947  12.26336221]
 [27.37421504 12.89472756]
 [ 8.20259851  7.7563479 ]
 [17.31771515  6.71831434]
 [17.74667959 27.02915057]
 [11.50860307  7.6259977 ]
 [29.40356114 13.49199876]
 [ 2.65198604  1.07555334]
 [ 4.08358095 19.1152522 ]
 [23.59840063 13.05663239]
 [ 1.95317864 10.89922881]
 [30.         15.28773306]
 [29.38070721 26.10778263]
 [ 0.17437678 20.36278048]
 [20.59096007 15.95262829]
 [ 7.70975326 19.19065287]
 [ 6.95064707 13.44547098]
 [13.95961985 29.08310652]
 [25.69869002  8.75465842]
 [16.17860318  3.72200942]
 [27.89911683 26.60842509]
 [ 9.73855173 20.0948631 ]
 [18.0543389   4.72141253]
 [22.34340207 15.04195624]
 [24.77504674 14.84264513]
 [ 0.37035967 10.24407337]
 [ 1.72083114 28.47099932]
 [27.67921349 23.66521167]
 [ 8.97879103  0.77862961]
 [27.35750933 28.33190991]
 [ 3.16294936 14.32650241]
 [ 2.85002878 22.88183027]
 [21.79917153  3.30655403]
 [14.69345698 15.83655364]
 [ 7.48001458 25.42514629]
 [12.22257177  5.7839685 ]
 [15.52283721 22.40517468]
 [ 5.76449906 10.25001159]
 [30.         21.15143177]
 [12.94357188 15.47039107]
 [ 4.42642994  6.94288485]
 [ 9.41821838 18.377217  ]
 [ 6.44538227  6.94344188]
 [ 2.15221507 19.708078  ]
 [ 5.57794078 25.78681469]
 [25.82555263  1.2257185 ]
 [ 5.79289598 19.96608042]
 [ 6.03188598  5.29534502]
 [26.96545653 17.30419103]
 [13.64869861 23.25469817]
 [24.64423683  5.35169784]
 [ 0.5381882  11.94483635]
 [12.35037174 13.70677512]
 [20.5992564  20.32084167]
 [29.31031221  2.70399089]
 [12.24080584 11.58677325]
 [25.74692846  6.82978848]
 [ 5.10692984 13.71277099]
 [12.00685004  9.48021697]
 [ 6.65020746 27.16998985]
 [13.0757718  25.13024373]
 [16.34744855  1.66751863]
 [29.67811414 24.06482121]
 [29.37591013 27.88577974]
 [26.38925716  4.54744479]]","[[1.52395282e+01 7.67033763e+00]
 [1.25224440e+01 3.27638260e+00]
 [1.17110691e+01 2.93491325e+01]
 [8.02958164e+00 2.33676576e+01]
 [1.43152249e+01 1.21939374e+01]
 [2.80221269e+01 3.00000000e+01]
 [1.83313882e+01 2.18977814e+01]
 [4.72503003e+00 8.61553709e+00]
 [2.99961457e+01 1.75818805e+01]
 [1.69616768e+01 2.44633681e+01]
 [1.34281515e+00 1.75632219e+01]
 [1.48525050e+01 2.49812190e+01]
 [4.48888224e+00 2.95444928e+01]
 [2.56037225e+00 4.24776729e+00]
 [1.84181081e+01 1.97176457e+01]
 [7.17478246e+00 3.73790133e+00]
 [2.72379426e+01 7.96854020e+00]
 [1.72196066e+01 1.78563904e+01]
 [1.28094651e+01 1.77062557e+01]
 [1.65075344e+01 2.83255927e+01]
 [6.37682294e+00 2.21220705e+01]
 [7.76211660e+00 1.14594031e+01]
 [1.98093362e+01 8.21729009e+00]
 [9.72170068e+00 2.27707409e+01]
 [7.69896529e-01 1.39192697e+01]
 [3.00000000e+01 3.00000000e+01]
 [2.22540431e+00 5.99884286e+00]
 [8.50968948e+00 2.80801981e+01]
 [2.57218057e+01 2.69342348e+01]
 [1.11024307e+01 4.41289160e+00]
 [2.61350425e+01 2.08654091e+01]
 [1.83292266e+01 2.93157832e+01]
 [1.99244346e+01 1.87334548e-02]
 [2.42559643e+01 1.00323818e+01]
 [2.01887685e+01 2.84756859e+01]
 [3.92182955e+00 2.86597403e+00]
 [3.25806818e+00 1.69100172e+01]
 [7.95492361e+00 1.71468434e+01]
 [2.13638424e+01 4.97876132e+00]
 [1.64330121e+01 9.50921008e+00]
 [1.56137711e+01 2.65205280e+01]
 [2.49662564e+01 3.17671578e+00]
 [1.48951565e+01 5.93235363e+00]
 [4.32975374e-01 2.45461861e+01]
 [2.05026225e+01 6.64571629e+00]
 [2.20782272e+01 1.72941337e+01]
 [1.34098510e+01 0.00000000e+00]
 [2.52931982e+00 2.65730706e+01]
 [2.69697601e+01 1.53602307e+01]
 [2.35601560e+01 1.64009797e+01]
 [4.30217664e+00 4.91897068e+00]
 [9.23493791e+00 2.62843845e+01]
 [2.27554832e+01 2.42986158e+01]
 [2.75272928e+01 6.05564220e+00]
 [8.46565075e+00 2.27358850e+00]
 [2.23328079e+01 2.78569428e+01]
 [1.18930005e+01 1.92349095e+01]
 [4.18401258e+00 2.74203244e+01]
 [2.59686530e+01 2.93796133e+01]
 [2.43944507e+01 2.81938480e+01]
 [8.36866125e-01 2.21996932e+01]
 [1.04563657e+01 2.79148477e+01]
 [2.65127424e+01 2.51390580e+01]
 [2.36426935e+01 7.82923235e+00]
 [2.34434385e+01 2.46896179e+00]
 [2.39947432e+01 2.59085562e+01]
 [6.19585156e+00 2.39736555e+01]
 [1.43365133e+01 9.63223937e+00]
 [2.24448321e+01 6.62259867e+00]
 [4.97840827e-01 4.36407968e+00]
 [1.11388022e+01 2.62272807e+01]
 [2.90127634e+01 9.04162574e+00]
 [1.78698449e+01 1.30945855e+01]
 [2.85555882e+01 1.64492875e+01]
 [2.83780258e+01 4.30447333e+00]
 [2.99638892e+01 5.36583566e+00]
 [2.91364467e+01 6.91493617e+00]
 [2.30775315e+00 1.28482212e+01]
 [2.26964491e+01 1.00103726e+01]
 [1.77899892e+01 1.50124417e+01]
 [1.08672966e+01 1.71072997e+01]
 [8.36361156e+00 2.16150856e+01]
 [4.36463313e-01 2.67621912e+01]
 [1.39945600e+01 2.02525514e+01]
 [2.39641985e+01 1.82521057e+01]
 [1.05228308e+01 2.61218337e+00]
 [2.05991973e+01 1.01222133e+01]
 [9.70922646e+00 2.47668248e+01]
 [2.16737879e+01 8.24544594e+00]
 [9.62683243e+00 1.20638834e+01]
 [9.22717001e+00 9.91656143e+00]
 [5.95721828e+00 1.20722253e+01]
 [2.81029732e+01 2.09358787e+01]
 [2.76481944e+01 1.88729553e+01]
 [9.18543547e+00 1.58459395e+01]
 [1.68779829e-01 8.53276134e+00]
 [1.45384238e+01 1.83711039e+01]
 [1.95264158e+01 1.39139319e+01]
 [1.34470867e+01 7.44512487e+00]
 [1.34148360e+01 2.72584050e+01]
 [2.31840835e+01 4.60573269e+00]
 [1.88252013e+00 1.55947185e+01]
 [1.86138639e+01 9.59015531e+00]]"
